TPMS,crit_lower,crit_upper,lower_2,lower_vf_2,lower_1,lower_vf_1,upper_1,upper_vf_1,upper_2,upper_vf_2,Latex
Gyroid,-1.5,,,,-1.414,1.638,,,,,Gyroid
D,-1.414,,,,-0.999,8.101,,,,,D
P,-3,,,,-1,21.36,,,,,P
IWP,-4.998,3,,,-2.999,10.06,3,0,,,IWP
Neovius,-13,,,,-0.749,33.57,,,,,Neovius
C_Y,-3.535,,-1.957,1.189,-1.835,7.637,,,,,C(Y)
Lidinoid,-2.7,2.3,,,-0.347,25.42,0.299,49.55,1.873,5.54,Lidinoid
OCTO,-0.75,3.249,,,-0.216,22.75,0.049,47.49,,,OCTO
FRD,-10,6,,,-1.851,23.27,1.999,25.84,,,FRD
S,-1.414,,,,-0.749,11.48,,,,,S
P_plus_C_P,-0.415,1.75,,,-0.134,41.29,0.174,21.74,,,P+C(P)
Split_P,-1.8,1.81,,,-0.969,14.15,0.599,27.58,1.37,5.367,Split–P
F,-1,,,,0,50,,,,,F
C_D,-4.25,,-0.272,24.45,-0.158,41.22,,,,,C(D)
G_prime,-0.68,1.82,,,-0.494,5.896,0.319,45.03,1.319,7.213,G^\prime
G_prime_2,-5.999,7.499,,,-4.429,7.4,2.999,20.55,3.999,12.18,G^{\prime}_2
D_prime,-2.406,0.425,-0.699,15.43,-0.106,44.52,0.362,7.739,,,D^\prime
K,-1.6,1.535,,,-0.471,16.39,0.299,43.14,,,K
C_S,-6.455,,,,-1.407,23.34,,,,,C(S)
Y,-4.95,,,,-0.451,25.8,,,,,Y
pm_Y,-2.828,,,,-0.378,34.38,,,,,\pmY
C_pm_Y,-2,,,,-1.653,6.342,,,,,C(\pmY)
C_I2_Ystarstar,-3,3,,,-2.062,8.384,0.999,27.79,,,C(I_2–Y**)
W,-4,,,,0,50,,,,,W
Qstar,-4,,,,-2.249,10.79,,,,,Q*
C_G,-10.5,,-4.242,9.979,-3.419,15.84,,,,,C(G)
Slotted_P,-12,6,,,-2.999,16.82,3.999,8.209,,,Slotted–P
